entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit,tf
2024-07-23 17:30:00+00:00,2024-07-23 19:15:00+00:00,SHORT,2403.15,2407.47,2407.47,-75.0,SL,False,15M
2024-07-30 15:15:00+00:00,2024-07-30 16:45:00+00:00,SHORT,2386.17,2396.14,2396.14,-75.0,SL,False,15M
2024-08-19 13:45:00+00:00,2024-08-20 07:30:00+00:00,LONG,2494.89,2486.35,2511.97,131.25,T2,True,15M
2024-09-09 17:45:00+00:00,2024-09-09 18:45:00+00:00,SHORT,2500.04,2504.72,2504.72,-75.0,SL,False,15M
2024-10-01 17:00:00+00:00,2024-10-01 18:00:00+00:00,LONG,2670.69,2659.23,2659.23,-75.0,SL,False,15M
2024-10-02 13:15:00+00:00,2024-10-02 14:45:00+00:00,LONG,2656.81,2647.83,2647.83,-75.0,SL,False,15M
2024-10-15 14:00:00+00:00,2024-10-16 06:00:00+00:00,LONG,2654.2,2644.6,2673.4,131.25,T2,True,15M
2024-10-24 15:30:00+00:00,2024-10-25 12:45:00+00:00,SHORT,2729.84,2739.71,2729.84,0.0,BE,False,15M
2024-10-29 13:30:00+00:00,2024-10-30 05:30:00+00:00,LONG,2760.54,2749.64,2782.34,131.25,T2,True,15M
2024-11-04 13:15:00+00:00,2024-11-04 13:45:00+00:00,SHORT,2740.42,2745.05,2745.05,-75.0,SL,False,15M
2024-11-04 15:15:00+00:00,2024-11-04 16:45:00+00:00,SHORT,2741.49,2745.05,2734.37,131.25,T2,True,15M
2024-11-08 14:30:00+00:00,2024-11-08 15:00:00+00:00,SHORT,2691.51,2696.1,2691.51,56.25,BE,True,15M
2024-12-04 13:15:00+00:00,2024-12-05 02:00:00+00:00,LONG,2645.35,2636.65,2645.35,0.0,BE,False,15M
2024-12-05 13:45:00+00:00,2024-12-05 14:15:00+00:00,LONG,2648.67,2645.95,2645.95,-75.0,SL,False,15M
2024-12-16 13:30:00+00:00,2024-12-16 15:15:00+00:00,SHORT,2659.92,2664.12,2651.52,131.25,T2,True,15M
2024-12-24 14:15:00+00:00,2024-12-24 14:30:00+00:00,LONG,2616.25,2614.43,2614.43,-75.0,SL,False,15M
2025-01-20 15:30:00+00:00,2025-01-21 00:45:00+00:00,LONG,2708.36,2703.49,2703.49,-75.0,SL,False,15M
2025-01-22 13:45:00+00:00,2025-01-23 09:15:00+00:00,LONG,2757.6,2747.31,2747.31,-75.0,SL,False,15M
2025-01-23 14:45:00+00:00,2025-01-23 15:15:00+00:00,LONG,2746.46,2742.59,2742.59,-75.0,SL,False,15M
2025-01-29 13:45:00+00:00,2025-01-29 14:15:00+00:00,LONG,2758.64,2757.4,2757.4,-18.75,SL,True,15M
2025-02-13 14:30:00+00:00,2025-02-13 23:30:00+00:00,LONG,2914.84,2906.7,2931.12,131.25,T2,True,15M
2025-02-17 16:15:00+00:00,2025-02-18 03:00:00+00:00,SHORT,2898.08,2906.86,2906.86,-75.0,SL,False,15M
2025-02-28 13:15:00+00:00,2025-02-28 14:00:00+00:00,SHORT,2856.74,2860.89,2848.44,131.25,T2,True,15M
2025-03-10 13:15:00+00:00,2025-03-11 06:45:00+00:00,SHORT,2901.36,2913.78,2901.36,56.25,BE,True,15M
2025-03-13 13:00:00+00:00,2025-03-13 13:15:00+00:00,LONG,2942.46,2941.23,2942.46,56.25,BE,True,15M
2025-03-21 13:15:00+00:00,2025-03-21 13:30:00+00:00,SHORT,3030.63,3035.49,3020.91,131.25,T2,True,15M
2025-03-31 14:30:00+00:00,2025-04-01 02:45:00+00:00,LONG,3119.45,3107.36,3143.63,131.25,T2,True,15M
2025-04-08 13:30:00+00:00,2025-04-08 14:00:00+00:00,SHORT,3006.21,3014.72,3014.72,-75.0,SL,False,15M
2025-04-08 14:45:00+00:00,2025-04-08 16:30:00+00:00,SHORT,3006.01,3014.72,2988.59,131.25,T2,True,15M
2025-04-14 17:30:00+00:00,2025-04-14 18:30:00+00:00,LONG,3216.11,3203.75,3203.75,-75.0,SL,False,15M
2025-05-01 14:45:00+00:00,2025-05-01 20:15:00+00:00,SHORT,3218.77,3235.79,3235.79,-75.0,SL,False,15M
2025-06-17 15:15:00+00:00,2025-06-17 18:15:00+00:00,SHORT,3380.78,3391.12,3391.12,-75.0,SL,False,15M
2025-06-23 13:00:00+00:00,2025-06-23 13:30:00+00:00,LONG,3367.21,3364.58,3372.47,131.25,T2,True,15M
2025-08-08 13:30:00+00:00,2025-08-08 14:00:00+00:00,LONG,3397.15,3387.57,3387.57,-75.0,SL,False,15M
2025-08-08 15:00:00+00:00,2025-08-08 16:30:00+00:00,LONG,3391.56,3387.57,3399.54,131.25,T2,True,15M
2025-08-21 14:00:00+00:00,2025-08-22 00:15:00+00:00,LONG,3344.78,3336.19,3336.19,-75.0,SL,False,15M
2025-08-25 13:30:00+00:00,2025-08-25 23:15:00+00:00,LONG,3367.95,3356.99,3356.99,-75.0,SL,False,15M
2025-09-09 13:00:00+00:00,2025-09-09 14:00:00+00:00,LONG,3652.59,3642.43,3672.91,131.25,T2,True,15M
2025-09-12 13:00:00+00:00,2025-09-14 23:15:00+00:00,LONG,3649.28,3638.68,3638.68,-75.0,SL,False,15M
2025-09-18 13:00:00+00:00,2025-09-22 06:30:00+00:00,SHORT,3658.38,3707.35,3707.35,-75.0,SL,False,15M
2025-09-24 13:00:00+00:00,2025-09-24 13:30:00+00:00,LONG,3771.51,3763.01,3763.01,-75.0,SL,False,15M
2025-10-10 13:45:00+00:00,2025-10-10 15:00:00+00:00,SHORT,3979.12,3994.27,3994.27,-75.0,SL,False,15M
2025-10-15 13:00:00+00:00,2025-10-15 13:15:00+00:00,LONG,4195.4,4194.31,4197.58,131.25,T2,True,15M
2025-10-15 14:00:00+00:00,2025-10-15 14:30:00+00:00,LONG,4208.48,4194.31,4194.31,-75.0,SL,False,15M
2025-10-15 16:15:00+00:00,2025-10-15 16:30:00+00:00,LONG,4196.9,4194.31,4194.31,-75.0,SL,False,15M
2025-10-15 16:45:00+00:00,2025-10-15 17:00:00+00:00,LONG,4198.76,4194.31,4194.31,-75.0,SL,False,15M
2025-10-15 17:45:00+00:00,2025-10-15 18:00:00+00:00,LONG,4197.62,4194.31,4204.24,131.25,T2,True,15M
2025-11-06 13:00:00+00:00,2025-11-06 14:15:00+00:00,LONG,4011.59,3997.42,3997.42,-75.0,SL,False,15M
2025-11-07 14:00:00+00:00,2025-11-07 14:30:00+00:00,LONG,4002.55,3993.27,3993.27,-75.0,SL,False,15M
2025-11-07 17:45:00+00:00,2025-11-10 01:15:00+00:00,LONG,4005.17,3993.27,4028.97,131.25,T2,True,15M
2025-11-17 13:15:00+00:00,2025-11-17 17:15:00+00:00,SHORT,4076.21,4089.28,4076.21,56.25,BE,True,15M
2025-11-20 14:30:00+00:00,2025-11-20 16:45:00+00:00,LONG,4088.7,4055.41,4055.41,-75.0,SL,False,15M
2025-11-27 14:00:00+00:00,2025-11-28 08:15:00+00:00,LONG,4158.21,4149.57,4149.57,-75.0,SL,False,15M
2025-12-18 17:30:00+00:00,2025-12-19 01:15:00+00:00,LONG,4337.11,4311.23,4311.23,-75.0,SL,False,15M
2025-12-30 13:30:00+00:00,2025-12-31 05:30:00+00:00,SHORT,4379.23,4404.56,4328.57,131.25,T2,True,15M
2026-01-08 13:45:00+00:00,2026-01-08 14:45:00+00:00,SHORT,4423.47,4438.56,4438.56,-75.0,SL,False,15M
2026-01-15 13:15:00+00:00,2026-01-15 13:30:00+00:00,SHORT,4604.81,4614.14,4604.81,56.25,BE,True,15M
2026-01-16 13:00:00+00:00,2026-01-16 14:45:00+00:00,SHORT,4595.98,4614.14,4614.14,-75.0,SL,False,15M
2026-02-02 17:15:00+00:00,2026-02-02 23:45:00+00:00,SHORT,4666.7,4761.1,4761.1,-75.0,SL,False,15M
2026-02-10 13:00:00+00:00,2026-02-10 15:30:00+00:00,LONG,5041.72,5012.91,5012.91,-75.0,SL,False,15M
2026-02-12 13:00:00+00:00,2026-02-12 14:45:00+00:00,LONG,5065.22,5052.03,5052.03,-75.0,SL,False,15M
2026-02-12 15:00:00+00:00,2026-02-12 16:00:00+00:00,LONG,5064.54,5052.03,5052.03,-75.0,SL,False,15M
2026-02-19 14:45:00+00:00,2026-02-19 17:30:00+00:00,LONG,5005.04,4986.9,4986.9,-75.0,SL,False,15M
2026-02-23 14:00:00+00:00,2026-02-23 14:45:00+00:00,LONG,5156.63,5138.71,5192.47,131.25,T2,True,15M
2026-02-25 15:30:00+00:00,2026-02-25 20:45:00+00:00,LONG,5190.67,5162.49,5162.49,-75.0,SL,False,15M
2026-03-11 14:00:00+00:00,2026-03-11 17:30:00+00:00,LONG,5189.67,5161.84,5161.84,-75.0,SL,False,15M
2026-03-13 13:45:00+00:00,2026-03-13 14:00:00+00:00,SHORT,5101.55,5112.14,5101.55,0.0,BE,False,15M
2026-03-17 13:45:00+00:00,2026-03-17 15:30:00+00:00,SHORT,5016.31,5035.59,4977.75,131.25,T2,True,15M
2026-03-26 15:30:00+00:00,2026-03-26 16:15:00+00:00,SHORT,4439.41,4463.24,4391.75,131.25,T2,True,15M
2026-04-06 13:45:00+00:00,2026-04-06 17:00:00+00:00,LONG,4678.03,4649.77,4649.77,-75.0,SL,False,15M
2026-04-10 13:45:00+00:00,2026-04-10 20:15:00+00:00,LONG,4774.57,4746.9,4746.9,-75.0,SL,False,15M
2026-04-24 13:15:00+00:00,2026-04-24 13:30:00+00:00,SHORT,4696.16,4700.38,4700.38,-18.75,SL,True,15M
2026-05-08 13:15:00+00:00,2026-05-08 14:00:00+00:00,LONG,4726.52,4706.46,4726.52,0.0,BE,False,15M
2026-05-08 16:15:00+00:00,2026-05-10 22:00:00+00:00,LONG,4717.39,4706.46,4706.46,-75.0,SL,False,15M
2026-05-13 15:30:00+00:00,2026-05-13 17:30:00+00:00,LONG,4699.12,4690.27,4690.27,-75.0,SL,False,15M
2026-05-14 13:15:00+00:00,2026-05-14 19:45:00+00:00,SHORT,4687.94,4705.04,4653.74,131.25,T2,True,15M
2026-05-20 13:15:00+00:00,2026-05-20 14:15:00+00:00,SHORT,4489.31,4507.32,4507.32,-75.0,SL,False,15M
2026-05-21 17:00:00+00:00,2026-05-21 17:15:00+00:00,LONG,4525.89,4511.47,4525.89,0.0,BE,False,15M
2026-05-22 13:15:00+00:00,2026-05-22 15:30:00+00:00,SHORT,4521.51,4539.54,4521.51,56.25,BE,True,15M
